,Response.No,Tab.No,Survey.Date,AC.Name,Mandal.Name,Village.Name
1,202,35,24-05-15,Tiruvuru,Vissannapeta,Maremanda
2,203,400,09-07-15,NA,NA,NA
3,206,498,10-06-15,Jaggaiahpeta,Penuganchiprolu,Anigallapadu
4,206,487,13-06-15,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
5,207,455,31-05-15,Tiruvuru,Gampalagudem,KOTHAPALLI
6,207,487,15-06-15,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
7,208,358,20-05-15,Mylavaram,Mylavaram,Pondugala
8,209,60,30-05-15,Mylavaram,Ibrahimpatnam,Thummalapalem
9,210,369,28-05-15,Mylavaram,Reddygudem,Moddulaparva
10,212,283,11-06-15,Mylavaram,Reddygudem,Reddygudem
11,212,316,16-07-15,Nandigama,Veerullapadu,Alluru
12,215,190,06-06-15,Mylavaram,G. Konduru,Kuntamukkala
13,217,158,26-05-15,Nandigama,Veerullapadu,Thati Gummi
14,219,481,14-06-15,Jaggaiahpeta,Penuganchiprolu,Anigallapadu
15,221,143,23-06-15,Nandigama,Chanderlapadu,Eturu
16,221,456,08-06-15,Tiruvuru,Gampalagudem,KONIJARAL
17,223,380,23-06-15,Mylavaram,Mylavaram,Chandragudem
18,224,333,25-06-15,Tiruvuru,Tiruvuru,Ganugapadu
19,224,74,29-06-15,NA,NA,NA
20,225,494,27-05-15,Jaggaiahpeta,Penuganchiprolu,Totacharla
21,226,37,30-05-15,Nandigama,Veerullapadu,Chatnavaram
22,226,98,03-06-15,NA,NA,NA
23,226,358,25-06-15,Mylavaram,Mylavaram,pullur
24,230,244,13-06-15,Jaggaiahpeta,Jaggaiahpeta,K.Agraharam
25,231,254,27-05-15,Nandigama,Chanderlapadu,Punnavalli
26,231,425,15-06-15,Tiruvuru,Vissannapeta,Narasapuram
27,233,481,03-06-15,Jaggaiahpeta,Penuganchiprolu,Kollikulla
28,235,476,26-05-15,Jaggaiahpeta,Penuganchiprolu,Mundlapadu
29,237,271,29-05-15,Mylavaram,Reddygudem,K-Naguluru
30,237,451,13-06-15,Tiruvuru,Gampalagudem,GULLAPUDI
31,238,366,27-05-15,Mylavaram,Reddygudem,Moddulaparva
32,240,362,26-05-15,Mylavaram,Mylavaram,Ganapavaram
33,242,353,01-06-15,Mylavaram,Mylavaram,k.r.gudem
34,242,119,09-07-15,NA,NA,NA
35,244,174,15-07-15,NA,NA,NA
36,245,365,25-05-15,Mylavaram,Mylavaram,Pondugala
37,246,444,08-07-15,Tiruvuru,Gampalagudem,VUTUKURU
38,247,298,06-06-15,Nandigama,Nandigama,Aithavaram
39,248,280,24-06-15,Mylavaram,Reddygudem,Reddygudem
40,250,219,07-07-15,Tiruvuru,Gampalagudem,GAMPALAGUDEM
41,253,287,16-06-15,Mylavaram,Reddygudem,Reddygudem
42,255,35,19-05-15,NA,NA,NA
43,256,378,20-05-15,Mylavaram,Mylavaram,Pondugala
44,256,266,07-06-15,Mylavaram,Reddygudem,Reddygudem
45,258,413,11-07-15,Tiruvuru,Tiruvuru,Choutapalli
46,262,180,24-05-15,Mylavaram,G. Konduru,Gangineni palem
47,262,500,30-05-15,Jaggaiahpeta,Penuganchiprolu,Lingaguduam
48,263,362,06-06-15,Mylavaram,Mylavaram,Chandrala
49,267,66,25-05-15,Mylavaram,Ibrahimpatnam,Mulapadu
50,267,317,30-05-15,Jaggaiahpeta,Nadigama,Domaluru
51,267,172,25-07-15,NA,NA,NA
52,269,369,03-07-15,Tiruvuru,Vissannapeta,Vissannapeta
53,270,76,16-06-15,Mylavaram,Ibrahimpatnam,Kotikalapudi
54,273,441,08-06-15,Tiruvuru,Gampalagudem,ARLAPADU
55,273,140,19-07-15,Jaggaiahpeta,Vatsavai,Vatsavai
56,274,95,18-07-15,Jaggaiahpeta,Vatsavai,Vatsavai
57,275,10,27-06-15,Nandigama,Kanchikacherla,Gottimukkala
58,275,365,03-07-15,Mylavaram,Mylavaram,mylavaram
59,276,286,25-05-15,Mylavaram,Reddygudem,Narukullapadu
60,277,268,28-05-15,Mylavaram,Reddygudem,Moddulaparva
61,278,214,03-06-15,Nandigama,Kanchikacherla,Athukuru
62,279,214,15-07-15,Nandigama,Kanchikacherla,Kanchikacherla
63,280,451,08-06-15,Tiruvuru,Gampalagudem,ARLAPADU
64,280,293,24-06-15,Jaggaiahpeta,Nadigama,Konduru
65,282,345,05-06-15,NA,NA,NA
66,285,84,06-06-15,Mylavaram,Ibrahimpatnam,Kethanakonda
67,288,261,27-05-15,Mylavaram,Reddygudem,Kunaparajparva
68,288,197,27-05-15,Mylavaram,G. Konduru,Gangineni palem
69,288,401,29-06-15,Tiruvuru,A.Konduru,A. Konduru
70,290,376,21-05-15,Mylavaram,Mylavaram,Tholukodu
71,290,254,13-07-15,Nandigama,Chanderlapadu,Muppalla
72,292,459,23-06-15,Tiruvuru,Gampalagudem,GAMPALAGUDEM
73,293,332,02-06-15,Tiruvuru,Tiruvuru,Mallela
74,293,375,08-07-15,Mylavaram,Mylavaram,mylavaram
75,295,360,29-06-15,Mylavaram,Mylavaram,mylavaram
76,297,69,01-06-15,Mylavaram,Ibrahimpatnam,Elaprolu
77,298,74,05-06-15,NA,NA,NA
78,299,370,25-06-15,Mylavaram,Mylavaram,Chandragudem
79,301,99,29-05-15,Mylavaram,Vijayawada (R),paidurpadu
80,302,487,15-07-15,NA,NA,NA
81,303,5,18-07-15,Nandigama,Chanderlapadu,Chanderlapadu
82,303,117,23-07-15,Jaggaiahpeta,Vatsavai,Vatsavai
83,305,432,11-07-15,Nandigama,Veerullapadu,Jujjuru
84,308,355,21-05-15,Mylavaram,Mylavaram,Tholukodu
85,308,340,21-06-15,Tiruvuru,Tiruvuru,Kokilampadu
86,309,159,12-06-15,Nandigama,Veerullapadu,Vellanki
87,310,441,24-05-15,Tiruvuru,Gampalagudem,KANUMURU
88,311,251,19-06-15,Nandigama,Chanderlapadu,Eturu
